x,y,doc_top_reduced_20,doc_top_reduced_19,doc_top_reduced_18,doc_top_reduced_17,doc_top_reduced_16,doc_top_reduced_15,doc_top_reduced_14,doc_top_reduced_13,doc_top_reduced_12,doc_top_reduced_11,doc_top_reduced_10,doc_top_reduced_9,doc_top_reduced_8,doc_top_reduced_7,doc_top_reduced_6,doc_top_reduced_5,doc_top_reduced_4,doc_top_reduced_3,doc_top_reduced_2
8.807147,4.1048026,5,5,4,5,4,2,3,3,4,4,3,3,3,2,2,2,2,2,0
4.844922,5.3140097,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
10.867634,2.0777571,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
8.013274,3.3347964,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
7.946621,3.4041905,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
8.073907,3.4373157,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
8.038808,3.3180099,16,15,16,15,14,2,3,3,4,4,3,3,3,2,2,2,2,2,0
6.945509,3.281357,16,14,15,14,0,0,0,0,0,4,3,3,3,2,2,2,2,2,0
7.675981,-1.460566,3,3,5,4,5,5,5,6,5,6,5,6,6,6,2,2,2,2,0
12.630849,2.0907516,15,16,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
4.88041,5.3082933,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
11.386457,2.3455286,7,6,6,6,6,7,6,5,6,5,6,8,1,1,1,1,1,1,1
10.125902,-2.2537093,14,14,15,14,4,0,0,0,0,4,3,3,3,0,0,0,2,2,0
8.62646,4.5945234,6,7,8,8,7,6,8,8,8,8,7,7,7,5,5,0,0,0,0
11.996313,3.2485898,11,11,9,9,9,8,7,7,7,7,6,8,3,2,2,2,2,2,1
5.49314,7.227005,7,6,6,6,6,7,6,5,6,5,2,2,2,3,3,3,3,0,0
11.127755,1.7477107,19,18,3,3,3,4,6,5,6,5,1,1,1,1,1,1,1,1,1
4.9773636,5.5463,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
4.1678176,6.407108,1,1,1,2,2,3,4,4,2,2,2,2,2,3,3,3,3,0,0
5.090754,6.764977,1,1,1,2,2,3,4,4,2,2,2,2,2,3,3,3,3,0,0
5.501604,7.0934386,1,1,1,2,2,3,4,4,2,2,2,2,2,3,3,3,3,0,0
7.690733,-1.4810033,14,14,15,14,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
10.61755,0.7161875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.207849,-0.04024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6152477,6.812967,1,1,1,2,2,3,4,4,2,2,2,2,2,3,3,3,3,0,0
5.3662505,5.405917,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
5.471337,5.3274364,9,8,10,10,11,12,12,12,2,2,2,2,2,3,3,3,3,0,0
3.6527658,6.0929112,1,1,1,2,2,3,4,4,2,2,2,2,2,3,3,3,3,0,0
14.630965,-0.87201965,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.332922,-0.8978092,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.798741,-0.9262761,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
